playlist_id,track_genre,genre_category
1r29zYJJ8SGyx3ZOUm2yTu,(blank),(blank)
1r29zYJJ8SGyx3ZOUm2yTu,alternative metal,alternative
1r29zYJJ8SGyx3ZOUm2yTu,alternative rock,alternative
1r29zYJJ8SGyx3ZOUm2yTu,art rock,alternative
1r29zYJJ8SGyx3ZOUm2yTu,grunge,alternative
1r29zYJJ8SGyx3ZOUm2yTu,post-grunge,alternative
1r29zYJJ8SGyx3ZOUm2yTu,chamber music,classical
1r29zYJJ8SGyx3ZOUm2yTu,classical,classical
1r29zYJJ8SGyx3ZOUm2yTu,classical piano,classical
1r29zYJJ8SGyx3ZOUm2yTu,neoclassical,classical
1r29zYJJ8SGyx3ZOUm2yTu,alt country,country
1r29zYJJ8SGyx3ZOUm2yTu,americana,country
1r29zYJJ8SGyx3ZOUm2yTu,bluegrass,country
1r29zYJJ8SGyx3ZOUm2yTu,classic country,country
1r29zYJJ8SGyx3ZOUm2yTu,country,country
1r29zYJJ8SGyx3ZOUm2yTu,newgrass,country
1r29zYJJ8SGyx3ZOUm2yTu,outlaw country,country
1r29zYJJ8SGyx3ZOUm2yTu,psychobilly,country
1r29zYJJ8SGyx3ZOUm2yTu,rockabilly,country
1r29zYJJ8SGyx3ZOUm2yTu,chillwave,electronic
1r29zYJJ8SGyx3ZOUm2yTu,cold wave,electronic
1r29zYJJ8SGyx3ZOUm2yTu,darkwave,electronic
1r29zYJJ8SGyx3ZOUm2yTu,dubstep,electronic
1r29zYJJ8SGyx3ZOUm2yTu,edm trap,electronic
1r29zYJJ8SGyx3ZOUm2yTu,electronica,electronic
1r29zYJJ8SGyx3ZOUm2yTu,glitch,electronic
1r29zYJJ8SGyx3ZOUm2yTu,synthwave,electronic
1r29zYJJ8SGyx3ZOUm2yTu,ambient,experimental
1r29zYJJ8SGyx3ZOUm2yTu,aor,experimental
1r29zYJJ8SGyx3ZOUm2yTu,drone,experimental
1r29zYJJ8SGyx3ZOUm2yTu,experimental,experimental
1r29zYJJ8SGyx3ZOUm2yTu,horrorcore,experimental
1r29zYJJ8SGyx3ZOUm2yTu,idm,experimental
1r29zYJJ8SGyx3ZOUm2yTu,madchester,experimental
1r29zYJJ8SGyx3ZOUm2yTu,minimalism,experimental
1r29zYJJ8SGyx3ZOUm2yTu,new wave,experimental
1r29zYJJ8SGyx3ZOUm2yTu,shoegaze,experimental
1r29zYJJ8SGyx3ZOUm2yTu,slowcore,experimental
1r29zYJJ8SGyx3ZOUm2yTu,spoken word,experimental
1r29zYJJ8SGyx3ZOUm2yTu,ambient folk,folk
1r29zYJJ8SGyx3ZOUm2yTu,anti-folk,folk
1r29zYJJ8SGyx3ZOUm2yTu,folk,folk
1r29zYJJ8SGyx3ZOUm2yTu,folk pop,folk
1r29zYJJ8SGyx3ZOUm2yTu,folk punk,folk
1r29zYJJ8SGyx3ZOUm2yTu,alternative hip hop,hip hop
1r29zYJJ8SGyx3ZOUm2yTu,east coast hip hop,hip hop
1r29zYJJ8SGyx3ZOUm2yTu,experimental hip hop,hip hop
1r29zYJJ8SGyx3ZOUm2yTu,hardcore hip hop,hip hop
1r29zYJJ8SGyx3ZOUm2yTu,hip hop,hip hop
1r29zYJJ8SGyx3ZOUm2yTu,jazz rap,hip hop
1r29zYJJ8SGyx3ZOUm2yTu,rap,hip hop
1r29zYJJ8SGyx3ZOUm2yTu,rap metal,hip hop
1r29zYJJ8SGyx3ZOUm2yTu,underground hip hop,hip hop
1r29zYJJ8SGyx3ZOUm2yTu,west coast hip hop,hip hop
1r29zYJJ8SGyx3ZOUm2yTu,indie,indie
1r29zYJJ8SGyx3ZOUm2yTu,indie folk,indie
1r29zYJJ8SGyx3ZOUm2yTu,indie pop,indie
1r29zYJJ8SGyx3ZOUm2yTu,indie rock,indie
1r29zYJJ8SGyx3ZOUm2yTu,singer-songwriter,indie
1r29zYJJ8SGyx3ZOUm2yTu,drone metal,metal/industrial
1r29zYJJ8SGyx3ZOUm2yTu,industrial,metal/industrial
1r29zYJJ8SGyx3ZOUm2yTu,industrial metal,metal/industrial
1r29zYJJ8SGyx3ZOUm2yTu,industrial rock,metal/industrial
1r29zYJJ8SGyx3ZOUm2yTu,nu metal,metal/industrial
1r29zYJJ8SGyx3ZOUm2yTu,comedy,other
1r29zYJJ8SGyx3ZOUm2yTu,soundtrack,other
1r29zYJJ8SGyx3ZOUm2yTu,acoustic pop,pop
1r29zYJJ8SGyx3ZOUm2yTu,alternative dance,pop
1r29zYJJ8SGyx3ZOUm2yTu,baroque pop,pop
1r29zYJJ8SGyx3ZOUm2yTu,dream pop,pop
1r29zYJJ8SGyx3ZOUm2yTu,power pop,pop
1r29zYJJ8SGyx3ZOUm2yTu,horror punk,punk
1r29zYJJ8SGyx3ZOUm2yTu,pop punk,punk
1r29zYJJ8SGyx3ZOUm2yTu,post-punk,punk
1r29zYJJ8SGyx3ZOUm2yTu,punk,punk
1r29zYJJ8SGyx3ZOUm2yTu,skate punk,punk
1r29zYJJ8SGyx3ZOUm2yTu,classic rock,rock
1r29zYJJ8SGyx3ZOUm2yTu,country rock,rock
1r29zYJJ8SGyx3ZOUm2yTu,funk rock,rock
1r29zYJJ8SGyx3ZOUm2yTu,glam rock,rock
1r29zYJJ8SGyx3ZOUm2yTu,gothic rock,rock
1r29zYJJ8SGyx3ZOUm2yTu,hard rock,rock
1r29zYJJ8SGyx3ZOUm2yTu,math rock,rock
1r29zYJJ8SGyx3ZOUm2yTu,post-rock,rock
1r29zYJJ8SGyx3ZOUm2yTu,progressive rock,rock
1r29zYJJ8SGyx3ZOUm2yTu,psychedelic rock,rock
1r29zYJJ8SGyx3ZOUm2yTu,rock,rock
1r29zYJJ8SGyx3ZOUm2yTu,roots rock,rock
1r29zYJJ8SGyx3ZOUm2yTu,yacht rock,rock
1r29zYJJ8SGyx3ZOUm2yTu,emo,soft rock
1r29zYJJ8SGyx3ZOUm2yTu,folk rock,soft rock
1r29zYJJ8SGyx3ZOUm2yTu,midwest emo,soft rock
1r29zYJJ8SGyx3ZOUm2yTu,soft rock,soft rock
